City_ID,City,Cloudiness,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kyren,72,2020-10-30 23:37:06,51.68,102.14,22.3,84,72,2.53
1,Kyren,72,2020-10-30 23:37:06,51.68,102.14,22.3,84,72,2.53
2,Kyren,72,2020-10-30 23:38:44,51.68,102.14,22.3,84,72,2.53
3,Kyren,72,2020-10-30 23:53:07,51.68,102.14,22.3,84,72,2.53
