City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Atambua,ID,76.39,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
624,Quibdo,CO,83.32,broken clouds,5.69,-76.66,Hotel Angeles
626,Morondava,MG,79.38,broken clouds,-20.28,44.28,La Case Bambou
628,Iralaya,HN,81.37,moderate rain,15.0,-83.23,Iglesia morava renovada
629,Codajas,BR,84.88,light rain,-3.84,-62.06,Hotel Tamires
630,Waingapu,ID,80.67,broken clouds,-9.66,120.26,Pondok Wisata Elim
633,Monzon,ES,71.6,clear sky,41.91,0.19,Hotel Masmonzón
634,Lucea,JM,84.99,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
635,Merauke,ID,80.33,overcast clouds,-8.47,140.33,
637,Sola,VU,80.19,few clouds,-13.88,167.55,Ulkel Guest House
639,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
640,Miguel Calmon,BR,79.88,overcast clouds,-11.43,-40.59,Pousada Guiomar
644,Biak,ID,77.56,overcast clouds,-0.91,122.88,Kost Ariz
647,Iringa,TZ,78.8,few clouds,-7.77,35.7,M.R. Hotels ltd.
649,San Carlos De Bariloche,AR,80.01,clear sky,-41.15,-71.31,Hotel Patagonia
657,Roebourne,AU,70.34,clear sky,-20.78,117.13,Harding River Caravan Park
659,Doha,QA,86.0,clear sky,25.29,51.53,Doha Marriott Hotel
662,Charters Towers,AU,72.63,broken clouds,-20.1,146.27,Cattleman's Rest Motor Inn
663,Samana,DO,86.0,scattered clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
664,Boa Vista,BR,89.6,light rain,2.82,-60.67,Aipana Plaza Hotel
666,Malanje,AO,78.12,broken clouds,-9.54,16.34,Malanje Hotel
667,Sao Joao Da Barra,BR,77.0,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
670,Kota Kinabalu,MY,77.0,scattered clouds,5.97,116.07,Gaya Centre Hotel
673,Itamaraca,BR,86.0,scattered clouds,-7.75,-34.83,Special K's Bed & Breakfast
675,Ocos,GT,84.2,scattered clouds,14.51,-92.19,La Bajadita
677,Kimbe,PG,76.68,scattered clouds,-5.55,150.14,Kimbe Bay Hotel
680,Nyimba,ZM,83.75,broken clouds,-14.56,30.81,Dali Dali Lodge
683,Pasighat,IN,71.85,scattered clouds,28.07,95.33,Siang Guest House
687,Los Llanos De Aridane,ES,84.2,clear sky,28.66,-17.92,Valle Aridane
688,Odweyne,SO,75.15,few clouds,9.41,45.06,Eng Hiirey House
690,Qeshm,IR,78.8,clear sky,26.96,56.27,Kimia IV Hotel
692,Goose Creek,US,73.99,broken clouds,32.98,-80.03,Holiday Inn Express & Suites Charleston-North
694,Balabac,PH,81.21,light rain,7.99,117.06,Sing and Swing Lodge
695,Quatre Cocos,MU,71.6,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
698,Chipata,ZM,70.65,light rain,-13.63,32.65,Protea Hotel by Marriott Chipata
701,Zaraza,VE,86.52,light rain,9.35,-65.32,Hotel Zaraza
705,Phalaborwa,ZA,75.2,overcast clouds,-23.94,31.14,Bothabelo B&B
708,Asyut,EG,84.2,scattered clouds,27.18,31.18,Florence Hotel Assiut
713,Kieta,PG,79.29,clear sky,-6.22,155.63,
714,Maicao,CO,88.25,overcast clouds,11.38,-72.24,Hotel Fronterita
717,Misratah,LY,71.67,clear sky,32.38,15.09,فندق الماسة
718,Taungdwingyi,MM,76.78,broken clouds,20.02,95.55,NayNaing MobileService
720,Culebra,PR,87.8,scattered clouds,18.3,-65.3,Palmetto Guesthouse
721,Porto Santo,PT,71.6,few clouds,33.07,-16.34,Hotel Porto Santo & Spa
725,San Luis,AR,79.84,clear sky,-33.3,-66.34,Huarpes Hotel
732,Jardim,BR,87.4,clear sky,-21.48,-56.14,Hotel Estância
733,Tabuk,PH,74.68,overcast clouds,17.42,121.44,Grand Zion Garden Resort Hotel
737,Nalut,LY,70.59,clear sky,30.33,10.85,
738,Andros Town,BS,84.2,scattered clouds,24.7,-77.77,Hanks place
740,Mayumba,GA,74.68,moderate rain,-3.43,10.66,LIKWALE LODGE
741,Chulumani,BO,72.45,overcast clouds,-16.41,-67.53,HOSTAL DION
742,Beruwala,LK,80.1,scattered clouds,6.48,79.98,The Palms Hotel
743,Nicolas Bravo,MX,80.6,broken clouds,18.45,-88.92,
744,Sao Desiderio,BR,84.65,light rain,-12.36,-44.97,Pousada do Luizão
746,Maragogi,BR,80.85,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
748,Sao Gabriel,BR,72.81,clear sky,-30.34,-54.32,Hotel Obino
750,Bubaque,GW,84.72,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
751,Alice Springs,AU,75.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
752,Sikonge,TZ,87.8,scattered clouds,-5.63,32.77,Daukilo Lodge
753,Impfondo,CG,75.69,moderate rain,1.64,18.07,Préfecture de la Likouala
759,Mwinilunga,ZM,79.23,few clouds,-11.74,24.43,Kwakuwahi Lodge
760,Camargo,MX,73.35,scattered clouds,27.67,-105.17,Hotel Santa Fe
761,San Vicente,AR,78.28,few clouds,-26.62,-54.13,Complejo Turístico Farelluk
762,Adrar,MR,89.37,overcast clouds,20.5,-10.07,
763,Marsa Matruh,EG,73.4,scattered clouds,31.35,27.25,Beau Site
764,Sakakah,SA,86.0,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
765,Giyani,ZA,78.78,overcast clouds,-23.3,30.72,Kulani Country Lodge
770,Caetite,BR,80.64,light rain,-14.07,-42.48,Hotel Porto do Sol
771,Acajutla,SV,82.4,clear sky,13.59,-89.83,Stop.
773,Ambon,ID,82.0,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
774,Mporokoso,ZM,70.95,light rain,-9.37,30.12,Fairview Home Lodge
775,Praia Da Vitoria,PT,73.4,broken clouds,38.73,-27.07,Hotel Branco I
777,Ashti,IN,74.21,clear sky,19.38,76.23,Sree Sant Savta Mali
779,Constantine,DZ,71.6,clear sky,36.37,6.61,Grand Hotel Cirta
780,Pachino,IT,71.01,scattered clouds,36.72,15.09,Il Veliero
781,Gasa,PS,77.0,scattered clouds,31.5,34.47,رابطة الفنانين الفلسطينيين
785,Kongolo,CD,76.48,few clouds,-5.38,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
788,Calabozo,VE,83.32,overcast clouds,8.92,-67.43,Hotel Giardini
792,Arlit,NE,86.81,broken clouds,18.74,7.39,Hôtel Telwa Bungalow
799,Kihei,US,71.6,clear sky,20.79,-156.47,Maui Sunset
802,Port-Gentil,GA,84.2,scattered clouds,-0.72,8.78,Fengshui Residence
804,Feni,BD,73.6,overcast clouds,23.02,91.41,"Best Inn Hotel, Restaurant, Convention"
805,Rosa Zarate,EC,83.07,overcast clouds,0.33,-79.47,Piscinas y Recepciones Hecalash
807,Lucapa,AO,77.11,few clouds,-8.42,20.74,Residência Ulisses Dos Santos
808,Maiduguri,NG,89.33,scattered clouds,11.85,13.16,College of Nursing & Midwifery Female's Hostel
816,Nishihara,JP,73.4,few clouds,26.18,127.76,Minshuku Agaihama
818,Sarankhola,BD,75.51,overcast clouds,22.31,89.79,ইসা ষ্টোর
820,Gamba,GA,76.91,light rain,-2.65,10.0,
824,San Rafael,AR,83.16,clear sky,-34.62,-68.33,Hotel San Rafael
825,Villarrica,PY,85.28,clear sky,-25.75,-56.43,Mansión Reljuv Tours SA
830,Warri,NG,82.29,moderate rain,5.52,5.75,BON Hotel Delta
